T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,
1,62,62,9,35,2,26,0,85,42,5,34,50
2,41,77,27,13,54,55,80,83,63,26,7,65
3,12,60,79,79,65,25,42,12,85,24,38,62
4,79,16,70,20,48,4,60,52,16,60,13,0
5,55,62,51,26,72,67,89,1,85,56,89,48
6,59,8,97,13,82,42,51,46,83,76,57,72
7,46,69,51,14,66,96,93,45,85,42,81,47
8,39,24,21,28,13,23,71,9,6,46,8,79
9,4,58,53,23,67,2,11,34,69,1,39,22
10,71,84,22,1,8,29,60,59,77,10,3,91
11,83,15,47,84,61,32,92,70,77,29,60,33
12,70,73,80,1,47,86,92,82,70,3,78,27
13,57,79,52,0,7,80,2,67,62,9,3,88
14,53,21,1,32,46,60,77,41,44,56,43,21
15,85,75,12,39,84,4,32,84,47,28,30,58
16,94,49,31,99,69,48,52,82,38,19,26,7
17,22,98,0,69,88,53,,20,32,70,32,65
18,28,98,84,76,16,41,54,35,15,45,66,74
19,27,53,12,30,89,73,1,24,7,44,77,0
20,8,21,88,73,53,54,14,77,14,30,0,18
21,85,31,53,97,44,10,86,2,46,8,91,91
22,12,35,21,23,40,27,73,33,42,48,65,12
23,7,80,4,85,51,57,29,41,1,44,58,12
24,96,25,24,10,90,85,10,63,54,0,5,19
25,66,73,73,37,34,61,26,55,94,43,84,3
26,42,56,1,76,28,90,44,64,73,46,79,16
27,66,81,13,42,23,5,53,81,69,52,12,85
28,98,71,54,36,99,71,29,8,10,43,9,
29,83,36,96,84,65,31,95,83,90,11,,
30,7,34,75,49,85,53,67,5,81,30,,28
31,37,,91,,39,94,,83,,92,,68
